date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:31:02	334/334	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Nov%202021%2017:01:02%20GMT	http://localhost/wordpress	C:/My%20Web%20Sites/global_certifications/localhost/wordpress.0.delayed	(from )
22:31:03	295/295	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Nov%202021%2017:01:03%20GMT	http://localhost/robots.txt		(from )
22:31:16	99175/99175	---MC-	200	added ('OK')	text/html	date:Thu,%2025%20Nov%202021%2017:01:03%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/global_certifications/localhost/wordpress/index.html	(from )
22:31:16	48304/48304	---M--	200	added ('OK')	text/css	etag:%22bcb0-5cf219047fece%22	http://localhost/wordpress/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.7.3	C:/My%20Web%20Sites/global_certifications/localhost/wordpress/wp-content/themes/astra/assets/css/minified/frontend.min1ac1.css	(from http://localhost/wordpress/)
22:31:16	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-5cf21904c4096%22	http://localhost/wordpress/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/global_certifications/localhost/wordpress/wp-content/themes/astra/assets/fonts/astra.woff	(from http://localhost/wordpress/)
22:31:16	3412/3412	---M--	200	added ('OK')	text/css	etag:%22d54-5cf21904829c7%22	http://localhost/wordpress/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=3.7.3	C:/My%20Web%20Sites/global_certifications/localhost/wordpress/wp-content/themes/astra/assets/css/minified/menu-animation.min1ac1.css	(from http://localhost/wordpress/)
22:31:17	80574/80574	---M--	200	added ('OK')	text/css	etag:%2213abe-5ce945ec4e742%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.8.2	C:/My%20Web%20Sites/global_certifications/localhost/wordpress/wp-includes/css/dist/block-library/style.min080f.css	(from http://localhost/wordpress/)
22:31:18	854/854	---M--	200	added ('OK')	application/rss+xml	etag:%22e03308779e0fac456b64a78ccb2fd20b%22	http://localhost/wordpress/feed/	C:/My%20Web%20Sites/global_certifications/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
22:31:18	748/748	---M--	200	added ('OK')	application/rss+xml	etag:%22fede051d24ad20849b799c8de352b53f%22	http://localhost/wordpress/comments/feed/	C:/My%20Web%20Sites/global_certifications/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
22:31:18	18900/18900	---M--	200	added ('OK')	text/css	etag:%2249d4-5cef947936a8e%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.13.0	C:/My%20Web%20Sites/global_certifications/localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min05c8.css	(from http://localhost/wordpress/)
